time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-15T01:42:08.824Z,59.5643,-152.9204,89.1,3.4,ml,,,,0.68,ak,ak0193eem4u6,2019-03-15T02:00:10.040Z,"65km WSW of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T01:21:50.460Z,18.7515,-66.7186,79,2.78,md,4,321,0.4064,0.43,pr,pr2019074002,2019-03-15T08:51:19.846Z,"30km N of Arecibo, Puerto Rico",earthquake,5.99,4.51,0.14,4,reviewed,pr,pr
2019-03-15T01:14:49.600Z,19.0841,-66.8153,35,2.9,md,10,290,0.6839,0.53,pr,pr2019074001,2019-03-15T04:37:23.360Z,"66km N of Hatillo, Puerto Rico",earthquake,2.69,13.4,0.21,9,reviewed,pr,pr
2019-03-15T01:13:24.350Z,36.2908,-98.1895,5,2.5,mb_lg,,58,0.27,0.15,us,us1000jg45,2019-03-15T01:29:28.598Z,"22km NNE of Okeene, Oklahoma",earthquake,1.1,1.7,0.076,45,reviewed,us,us
2019-03-15T00:41:58.920Z,19.0566,-67.8023,101,3.12,md,3,228,1.258,0.11,pr,pr2019074000,2019-03-15T04:52:20.040Z,"113km NE of Punta Cana, Dominican Republic",earthquake,4.43,4.84,0.29,3,reviewed,pr,pr
2019-03-15T00:37:39.424Z,65.4889,-153.2556,13.6,2.1,ml,,,,1.07,ak,ak0193edzp2o,2019-03-15T00:44:40.050Z,"65km WNW of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T00:30:01.940Z,-9.8039,124.7565,62.76,4.5,mb,,59,0.484,0.95,us,us1000jg3m,2019-03-15T01:53:55.040Z,"27km SE of Neob, Indonesia",earthquake,7,5.3,0.108,25,reviewed,us,us
2019-03-15T00:27:20.020Z,33.5091667,-116.769,2.61,0.75,ml,25,35,0.02639,0.1,ci,ci38269423,2019-03-15T00:39:20.821Z,"10km WSW of Anza, CA",earthquake,0.15,0.18,0.117,16,reviewed,ci,ci
2019-03-15T00:10:24.140Z,33.5085,-116.7695,2.56,0.72,ml,22,37,0.02606,0.11,ci,ci38269407,2019-03-15T00:35:00.726Z,"10km WSW of Anza, CA",earthquake,0.14,0.17,0.082,18,reviewed,ci,ci
2019-03-15T00:07:31.580Z,62.6075,-150.4706,72.3,1.7,ml,,,,0.6,ak,ak0193edt90a,2019-03-15T00:12:13.244Z,"36km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-03-15T00:06:29.350Z,37.2975,-97.9209,3.83,2.3,mb_lg,,76,0.061,1.19,us,us1000jg31,2019-03-15T02:03:33.353Z,"9km E of Harper, Kansas",earthquake,1.7,2.4,0.12,19,reviewed,us,us
2019-03-14T23:34:22.680Z,38.7808342,-122.7481689,0.38,1.56,md,18,66,0.009261,0.06,nc,nc73152146,2019-03-15T03:52:03.334Z,"1km ENE of The Geysers, CA",earthquake,0.21,0.63,0.16,6,automatic,nc,nc
2019-03-14T23:29:20.503Z,38.5682,-118.532,7.9,0.5,ml,4,191.02,0.061,0.1247,nn,nn00679996,2019-03-14T23:44:59.236Z,"9km ENE of Hawthorne, Nevada",earthquake,,5.7,0,1,reviewed,nn,nn
2019-03-14T23:26:39.766Z,64.9821,-147.3716,0.6,1.4,ml,,,,0.61,ak,ak0193d42yne,2019-03-14T23:36:45.727Z,"21km NNE of Badger, Alaska",explosion,,0.5,,,automatic,ak,ak
2019-03-14T23:18:15.978Z,38.5619,-118.5093,6.7,0.2,ml,4,171.89,0.067,0.0631,nn,nn00679995,2019-03-14T23:38:49.470Z,"10km ENE of Hawthorne, Nevada",earthquake,,9.5,0.41,2,reviewed,nn,nn
2019-03-14T23:18:14.950Z,36.0078333,-117.807,1.87,0.28,ml,9,121,0.03802,0.04,ci,ci38269391,2019-03-14T23:33:30.299Z,"12km NE of Little Lake, CA",earthquake,0.15,31.61,0.276,3,reviewed,ci,ci
2019-03-14T23:16:49.710Z,38.8305016,-122.8088303,1.65,0.45,md,16,86,0.01646,0.04,nc,nc73152136,2019-03-14T23:18:25.600Z,"8km NW of The Geysers, CA",earthquake,0.27,0.5,0.11,4,automatic,nc,nc
2019-03-14T23:14:51.650Z,38.793335,-122.7835007,1.59,0.43,md,9,142,0.003455,0.03,nc,nc73152131,2019-03-14T23:16:25.669Z,"3km NW of The Geysers, CA",earthquake,0.46,0.66,0.12,2,automatic,nc,nc
2019-03-14T23:10:47.140Z,51.3892,-178.5457,61.73,3.8,mb,,268,0.398,0.97,us,us1000jg2h,2019-03-15T01:48:35.040Z,"41km ENE of Amatignak Island, Alaska",earthquake,8,12.8,0.169,9,reviewed,us,us
2019-03-14T23:07:43.160Z,19.3091667,-155.209,5.84,0.79,md,16,101,0.03147,0.06,hv,hv70865437,2019-03-15T00:30:55.060Z,"13km SSE of Volcano, Hawaii",earthquake,0.39,1.11,0.048,8,reviewed,hv,hv
2019-03-14T23:02:47.890Z,9.6451,126.2397,44.57,4.6,mb,,110,2.641,0.65,us,us1000jg21,2019-03-15T01:47:23.040Z,"17km SSE of General Luna, Philippines",earthquake,5.8,7.9,0.074,55,reviewed,us,us
2019-03-14T23:02:28.950Z,38.7938347,-122.783165,1.76,0.43,md,11,90,0.003772,0.04,nc,nc73152126,2019-03-14T23:04:05.641Z,"3km NW of The Geysers, CA",earthquake,0.31,0.65,0.12,2,automatic,nc,nc
2019-03-14T22:57:34.060Z,19.4058342,-155.2814941,0,1.7,md,18,39,0.01202,0.09,hv,hv70865412,2019-03-14T23:00:47.370Z,"5km WSW of Volcano, Hawaii",earthquake,0.13,0.21,0.39,15,automatic,hv,hv
2019-03-14T22:57:28.950Z,38.7938347,-122.7868347,1.32,0.86,md,9,130,0.00107,0.03,nc,nc73152121,2019-03-14T23:50:02.989Z,"3km NW of The Geysers, CA",earthquake,0.33,0.73,0.03,2,automatic,nc,nc
2019-03-14T22:49:58.490Z,17.9578,-66.1555,16,1.58,md,5,207,0.0493,0.09,pr,pr2019073019,2019-03-15T00:11:29.907Z,"1km ENE of Jobos, Puerto Rico",earthquake,0.69,0.47,0.42,4,reviewed,pr,pr
2019-03-14T22:48:10.526Z,38.7873,-117.0444,8.9,1.3,ml,7,230.48,0.117,0.374,nn,nn00679988,2019-03-14T22:55:44.328Z,"76km E of Gabbs, Nevada",explosion,,2.8,0.4,6,reviewed,nn,nn
